year,cyclones,storms,hurricanes,major_hurricanes,deaths,strongest_storm
1990,16,14,8,1,116,Gustav
1991,12,8,4,2,30,Claudette
1992,9,7,4,1,66,Andrew
1993,10,8,4,1,274,Emily
1994,12,7,3,0,1184,Florence
1995,21,19,11,5,115,Opal
1996,13,13,9,6,179,Edouard
1997,9,8,3,1,11,Erika
1998,14,14,10,3,12000,Mitch
1999,16,12,8,5,465,Floyd
2000,19,15,8,3,105,Keith
2001,17,15,9,4,187,Michelle
2002,14,12,4,2,50,Isidore
2003,21,16,7,3,93,Isabel
2004,17,15,9,6,3260,Ivan
2005,31,28,15,7,3960,Wilma
2006,10,10,5,2,14,Gordon and Helene
2007,17,15,6,2,478,Dean
2008,17,16,8,5,1065,Ike
2009,11,9,3,2,9,Bill
2010,21,19,12,5,392,Igor
2011,20,19,7,4,112,Ophelia
2012,19,19,10,2,302,Sandy
2013,15,14,2,0,54,Humberto
2014,9,8,6,2,21,Gonzalo
2015,12,11,4,2,89,Joaquin
2016,16,15,7,4,748,Matthew
2017,18,17,10,6,3363,Maria
2018,16,15,8,2,175,Michael
2019,20,18,6,3,107,Dorian
2020,14,13,4,1,72,Laura